file_path,line_no,function_name,return_type,parameter_types,full_signature
include/deviceinfo.h,113,OH_GetAbiList,const char *,void,const char * OH_GetAbiList(void)
include/deviceinfo.h,106,OH_GetBootloaderVersion,const char *,void,const char * OH_GetBootloaderVersion(void)
include/deviceinfo.h,64,OH_GetBrand,const char *,void,const char * OH_GetBrand(void)
include/deviceinfo.h,193,OH_GetBuildHost,const char *,void,const char * OH_GetBuildHost(void)
include/deviceinfo.h,207,OH_GetBuildRootHash,const char *,void,const char * OH_GetBuildRootHash(void)
include/deviceinfo.h,200,OH_GetBuildTime,const char *,void,const char * OH_GetBuildTime(void)
include/deviceinfo.h,179,OH_GetBuildType,const char *,void,const char * OH_GetBuildType(void)
include/deviceinfo.h,186,OH_GetBuildUser,const char *,void,const char * OH_GetBuildUser(void)
include/deviceinfo.h,50,OH_GetDeviceType,const char *,void,const char * OH_GetDeviceType(void)
include/deviceinfo.h,127,OH_GetDisplayVersion,const char *,void,const char * OH_GetDisplayVersion(void)
include/deviceinfo.h,233,OH_GetDistributionOSApiVersion,int,void,int OH_GetDistributionOSApiVersion(void)
include/deviceinfo.h,217,OH_GetDistributionOSName,const char *,void,const char * OH_GetDistributionOSName(void)
include/deviceinfo.h,241,OH_GetDistributionOSReleaseType,const char *,void,const char * OH_GetDistributionOSReleaseType(void)
include/deviceinfo.h,225,OH_GetDistributionOSVersion,const char *,void,const char * OH_GetDistributionOSVersion(void)
include/deviceinfo.h,165,OH_GetFirstApiVersion,int,void,int OH_GetFirstApiVersion(void)
include/deviceinfo.h,99,OH_GetHardwareModel,const char *,void,const char * OH_GetHardwareModel(void)
include/deviceinfo.h,134,OH_GetIncrementalVersion,const char *,void,const char * OH_GetIncrementalVersion(void)
include/deviceinfo.h,57,OH_GetManufacture,const char *,void,const char * OH_GetManufacture(void)
include/deviceinfo.h,71,OH_GetMarketName,const char *,void,const char * OH_GetMarketName(void)
include/deviceinfo.h,151,OH_GetOSFullName,const char *,void,const char * OH_GetOSFullName(void)
include/deviceinfo.h,144,OH_GetOsReleaseType,const char *,void,const char * OH_GetOsReleaseType(void)
include/deviceinfo.h,85,OH_GetProductModel,const char *,void,const char * OH_GetProductModel(void)
include/deviceinfo.h,78,OH_GetProductSeries,const char *,void,const char * OH_GetProductSeries(void)
