file_path,line_no,function_name,return_type,parameter_types,full_signature
deviceinfo.h,113,OH_GetAbiList,const char *,void,const char * OH_GetAbiList(void)
deviceinfo.h,106,OH_GetBootloaderVersion,const char *,void,const char * OH_GetBootloaderVersion(void)
deviceinfo.h,64,OH_GetBrand,const char *,void,const char * OH_GetBrand(void)
deviceinfo.h,193,OH_GetBuildHost,const char *,void,const char * OH_GetBuildHost(void)
deviceinfo.h,207,OH_GetBuildRootHash,const char *,void,const char * OH_GetBuildRootHash(void)
deviceinfo.h,200,OH_GetBuildTime,const char *,void,const char * OH_GetBuildTime(void)
deviceinfo.h,179,OH_GetBuildType,const char *,void,const char * OH_GetBuildType(void)
deviceinfo.h,186,OH_GetBuildUser,const char *,void,const char * OH_GetBuildUser(void)
deviceinfo.h,50,OH_GetDeviceType,const char *,void,const char * OH_GetDeviceType(void)
deviceinfo.h,127,OH_GetDisplayVersion,const char *,void,const char * OH_GetDisplayVersion(void)
deviceinfo.h,233,OH_GetDistributionOSApiVersion,int,void,int OH_GetDistributionOSApiVersion(void)
deviceinfo.h,217,OH_GetDistributionOSName,const char *,void,const char * OH_GetDistributionOSName(void)
deviceinfo.h,241,OH_GetDistributionOSReleaseType,const char *,void,const char * OH_GetDistributionOSReleaseType(void)
deviceinfo.h,225,OH_GetDistributionOSVersion,const char *,void,const char * OH_GetDistributionOSVersion(void)
deviceinfo.h,165,OH_GetFirstApiVersion,int,void,int OH_GetFirstApiVersion(void)
deviceinfo.h,99,OH_GetHardwareModel,const char *,void,const char * OH_GetHardwareModel(void)
deviceinfo.h,134,OH_GetIncrementalVersion,const char *,void,const char * OH_GetIncrementalVersion(void)
deviceinfo.h,57,OH_GetManufacture,const char *,void,const char * OH_GetManufacture(void)
deviceinfo.h,71,OH_GetMarketName,const char *,void,const char * OH_GetMarketName(void)
deviceinfo.h,151,OH_GetOSFullName,const char *,void,const char * OH_GetOSFullName(void)
deviceinfo.h,144,OH_GetOsReleaseType,const char *,void,const char * OH_GetOsReleaseType(void)
deviceinfo.h,85,OH_GetProductModel,const char *,void,const char * OH_GetProductModel(void)
deviceinfo.h,78,OH_GetProductSeries,const char *,void,const char * OH_GetProductSeries(void)
deviceinfo.h,158,OH_GetSdkApiVersion,int,void,int OH_GetSdkApiVersion(void)
deviceinfo.h,120,OH_GetSecurityPatchTag,const char *,void,const char * OH_GetSecurityPatchTag(void)
deviceinfo.h,92,OH_GetSoftwareModel,const char *,void,const char * OH_GetSoftwareModel(void)
deviceinfo.h,172,OH_GetVersionId,const char *,void,const char * OH_GetVersionId(void)
syscap_ndk.h,45,canIUse,bool,const char * cap,bool canIUse(const char *)
AbilityKit/native_child_process.h,173,OH_Ability_CreateNativeChildProcess,int,"const char * libName,OH_Ability_OnNativeChildProcessStarted onProcessStarted","int OH_Ability_CreateNativeChildProcess(const char *,OH_Ability_OnNativeChildProcessStarted)"
AbilityKit/native_child_process.h,278,OH_Ability_StartNativeChildProcess,Ability_NativeChildProcess_ErrCode,"const char * entry,NativeChildProcess_Args args,NativeChildProcess_Options options,int32_t * pid","Ability_NativeChildProcess_ErrCode OH_Ability_StartNativeChildProcess(const char *,NativeChildProcess_Args,NativeChildProcess_Options,int32_t *)"
AbilityKit/ability_base/want.h,149,OH_AbilityBase_AddWantFd,AbilityBase_ErrorCode,"AbilityBase_Want * want,const char * key,int32_t fd","AbilityBase_ErrorCode OH_AbilityBase_AddWantFd(AbilityBase_Want *,const char *,int32_t)"
AbilityKit/ability_base/want.h,73,OH_AbilityBase_CreateWant,AbilityBase_Want *,AbilityBase_Element element,AbilityBase_Want * OH_AbilityBase_CreateWant(AbilityBase_Element)
AbilityKit/ability_base/want.h,84,OH_AbilityBase_DestroyWant,AbilityBase_ErrorCode,AbilityBase_Want * want,AbilityBase_ErrorCode OH_AbilityBase_DestroyWant(AbilityBase_Want *)
AbilityKit/ability_base/want.h,135,OH_AbilityBase_GetWantCharParam,AbilityBase_ErrorCode,"AbilityBase_Want * want,const char * key,char * value,size_t valueSize","AbilityBase_ErrorCode OH_AbilityBase_GetWantCharParam(AbilityBase_Want *,const char *,char *,size_t)"
AbilityKit/ability_base/want.h,108,OH_AbilityBase_GetWantElement,AbilityBase_ErrorCode,"AbilityBase_Want * want,AbilityBase_Element * element","AbilityBase_ErrorCode OH_AbilityBase_GetWantElement(AbilityBase_Want *,AbilityBase_Element *)"
AbilityKit/ability_base/want.h,162,OH_AbilityBase_GetWantFd,AbilityBase_ErrorCode,"AbilityBase_Want * want,const char * key,int32_t * fd","AbilityBase_ErrorCode OH_AbilityBase_GetWantFd(AbilityBase_Want *,const char *,int32_t *)"
