file_path,line_no,function_name,return_type,parameter_types,full_signature
malloc.h,61,calloc,void *,"size_t, size_t","void *calloc (size_t, size_t);"
malloc.h,63,free,void,void *,void free (void *);
malloc.h,113,mallinfo,struct,void,struct mallinfo mallinfo(void);
malloc.h,121,mallinfo2,struct,void,struct mallinfo2 mallinfo2(void);
malloc.h,60,malloc,void *,size_t,void *malloc (size_t);
malloc.h,80,malloc_check_from_ptr,int,void *ptr,int malloc_check_from_ptr(void *ptr);
malloc.h,67,malloc_usable_size,size_t,void *,size_t malloc_usable_size(void *);
malloc.h,68,mallopt,int,"int param, int value","int mallopt(int param, int value);"
malloc.h,65,memalign,void *,"size_t, size_t","void *memalign(size_t, size_t);"
malloc.h,62,realloc,void *,"void *, size_t","void *realloc (void *, size_t);"
malloc.h,64,valloc,void *,size_t,void *valloc (size_t);
deviceinfo.h,113,OH_GetAbiList,const char *,void,const char *OH_GetAbiList(void);
deviceinfo.h,106,OH_GetBootloaderVersion,const char *,void,const char *OH_GetBootloaderVersion(void);
deviceinfo.h,64,OH_GetBrand,const char *,void,const char *OH_GetBrand(void);
deviceinfo.h,193,OH_GetBuildHost,const char *,void,const char *OH_GetBuildHost(void);
deviceinfo.h,207,OH_GetBuildRootHash,const char *,void,const char *OH_GetBuildRootHash(void);
deviceinfo.h,200,OH_GetBuildTime,const char *,void,const char *OH_GetBuildTime(void);
deviceinfo.h,179,OH_GetBuildType,const char *,void,const char *OH_GetBuildType(void);
deviceinfo.h,186,OH_GetBuildUser,const char *,void,const char *OH_GetBuildUser(void);
deviceinfo.h,50,OH_GetDeviceType,const char *,void,const char *OH_GetDeviceType(void);
deviceinfo.h,127,OH_GetDisplayVersion,const char *,void,const char *OH_GetDisplayVersion(void);
deviceinfo.h,233,OH_GetDistributionOSApiVersion,int,void,int OH_GetDistributionOSApiVersion(void);
deviceinfo.h,217,OH_GetDistributionOSName,const char *,void,const char *OH_GetDistributionOSName(void);
deviceinfo.h,241,OH_GetDistributionOSReleaseType,const char *,void,const char *OH_GetDistributionOSReleaseType(void);
deviceinfo.h,225,OH_GetDistributionOSVersion,const char *,void,const char *OH_GetDistributionOSVersion(void);
deviceinfo.h,165,OH_GetFirstApiVersion,int,void,int OH_GetFirstApiVersion(void);
deviceinfo.h,99,OH_GetHardwareModel,const char *,void,const char *OH_GetHardwareModel(void);
deviceinfo.h,134,OH_GetIncrementalVersion,const char *,void,const char *OH_GetIncrementalVersion(void);
deviceinfo.h,57,OH_GetManufacture,const char *,void,const char *OH_GetManufacture(void);
deviceinfo.h,71,OH_GetMarketName,const char *,void,const char *OH_GetMarketName(void);
deviceinfo.h,151,OH_GetOSFullName,const char *,void,const char *OH_GetOSFullName(void);
deviceinfo.h,144,OH_GetOsReleaseType,const char *,void,const char *OH_GetOsReleaseType(void);
deviceinfo.h,85,OH_GetProductModel,const char *,void,const char *OH_GetProductModel(void);
deviceinfo.h,78,OH_GetProductSeries,const char *,void,const char *OH_GetProductSeries(void);
deviceinfo.h,158,OH_GetSdkApiVersion,int,void,int OH_GetSdkApiVersion(void);
deviceinfo.h,120,OH_GetSecurityPatchTag,const char *,void,const char *OH_GetSecurityPatchTag(void);
deviceinfo.h,92,OH_GetSoftwareModel,const char *,void,const char *OH_GetSoftwareModel(void);
deviceinfo.h,172,OH_GetVersionId,const char *,void,const char *OH_GetVersionId(void);
syscap_ndk.h,52,canIUse,bool,const char *cap,bool canIUse(const char *cap);
resourcemanager/ohresmgr.h,872,OH_ResourceManager_AddResource,ResourceManager_ErrorCode,"const NativeResourceManager *mgr, const char *path","ResourceManager_ErrorCode OH_ResourceManager_AddResource(const NativeResourceManager *mgr, const char *path);"
resourcemanager/ohresmgr.h,838,OH_ResourceManager_GetBool,ResourceManager_ErrorCode,unknown,"ResourceManager_ErrorCode OH_ResourceManager_GetBool(const NativeResourceManager *mgr, uint32_t resId,"
resourcemanager/ohresmgr.h,858,OH_ResourceManager_GetBoolByName,ResourceManager_ErrorCode,unknown,"ResourceManager_ErrorCode OH_ResourceManager_GetBoolByName(const NativeResourceManager *mgr, const char *resName,"
resourcemanager/ohresmgr.h,718,OH_ResourceManager_GetColor,ResourceManager_ErrorCode,unknown,"ResourceManager_ErrorCode OH_ResourceManager_GetColor(const NativeResourceManager *mgr, uint32_t resId,"
resourcemanager/ohresmgr.h,738,OH_ResourceManager_GetColorByName,ResourceManager_ErrorCode,unknown,"ResourceManager_ErrorCode OH_ResourceManager_GetColorByName(const NativeResourceManager *mgr, const char *resName,"
resourcemanager/ohresmgr.h,416,OH_ResourceManager_GetConfiguration,ResourceManager_ErrorCode,unknown,"ResourceManager_ErrorCode OH_ResourceManager_GetConfiguration(const NativeResourceManager *mgr,"
resourcemanager/ohresmgr.h,650,OH_ResourceManager_GetDoublePluralString,ResourceManager_ErrorCode,unknown,"ResourceManager_ErrorCode OH_ResourceManager_GetDoublePluralString(const NativeResourceManager *mgr, uint32_t resId,"
resourcemanager/ohresmgr.h,698,OH_ResourceManager_GetDoublePluralStringByName,ResourceManager_ErrorCode,unknown,"ResourceManager_ErrorCode OH_ResourceManager_GetDoublePluralStringByName(const NativeResourceManager *mgr,"
resourcemanager/ohresmgr.h,248,OH_ResourceManager_GetDrawableDescriptor,ResourceManager_ErrorCode,unknown,"ResourceManager_ErrorCode OH_ResourceManager_GetDrawableDescriptor(const NativeResourceManager *mgr,"
resourcemanager/ohresmgr.h,293,OH_ResourceManager_GetDrawableDescriptorByName,ResourceManager_ErrorCode,unknown,"ResourceManager_ErrorCode OH_ResourceManager_GetDrawableDescriptorByName(const NativeResourceManager *mgr,"
resourcemanager/ohresmgr.h,271,OH_ResourceManager_GetDrawableDescriptorData,ResourceManager_ErrorCode,unknown,"ResourceManager_ErrorCode OH_ResourceManager_GetDrawableDescriptorData(const NativeResourceManager *mgr,"
resourcemanager/ohresmgr.h,315,OH_ResourceManager_GetDrawableDescriptorDataByName,ResourceManager_ErrorCode,unknown,"ResourceManager_ErrorCode OH_ResourceManager_GetDrawableDescriptorDataByName(const NativeResourceManager *mgr,"
resourcemanager/ohresmgr.h,798,OH_ResourceManager_GetFloat,ResourceManager_ErrorCode,unknown,"ResourceManager_ErrorCode OH_ResourceManager_GetFloat(const NativeResourceManager *mgr, uint32_t resId,"
resourcemanager/ohresmgr.h,818,OH_ResourceManager_GetFloatByName,ResourceManager_ErrorCode,unknown,"ResourceManager_ErrorCode OH_ResourceManager_GetFloatByName(const NativeResourceManager *mgr, const char *resName,"
resourcemanager/ohresmgr.h,758,OH_ResourceManager_GetInt,ResourceManager_ErrorCode,unknown,"ResourceManager_ErrorCode OH_ResourceManager_GetInt(const NativeResourceManager *mgr, uint32_t resId,"
resourcemanager/ohresmgr.h,778,OH_ResourceManager_GetIntByName,ResourceManager_ErrorCode,unknown,"ResourceManager_ErrorCode OH_ResourceManager_GetIntByName(const NativeResourceManager *mgr, const char *resName,"
resourcemanager/ohresmgr.h,626,OH_ResourceManager_GetIntPluralString,ResourceManager_ErrorCode,unknown,"ResourceManager_ErrorCode OH_ResourceManager_GetIntPluralString(const NativeResourceManager *mgr, uint32_t resId,"
resourcemanager/ohresmgr.h,674,OH_ResourceManager_GetIntPluralStringByName,ResourceManager_ErrorCode,unknown,"ResourceManager_ErrorCode OH_ResourceManager_GetIntPluralStringByName(const NativeResourceManager *mgr,"
resourcemanager/ohresmgr.h,375,OH_ResourceManager_GetLocales,ResourceManager_ErrorCode,unknown,"ResourceManager_ErrorCode OH_ResourceManager_GetLocales(const NativeResourceManager *mgr, char ***resultValue,"
resourcemanager/ohresmgr.h,395,OH_ResourceManager_GetLocalesData,ResourceManager_ErrorCode,unknown,"ResourceManager_ErrorCode OH_ResourceManager_GetLocalesData(const NativeResourceManager *mgr, char ***resultValue,"
resourcemanager/ohresmgr.h,157,OH_ResourceManager_GetMedia,ResourceManager_ErrorCode,unknown,"ResourceManager_ErrorCode OH_ResourceManager_GetMedia(const NativeResourceManager *mgr, uint32_t resId,"
resourcemanager/ohresmgr.h,65,OH_ResourceManager_GetMediaBase64,ResourceManager_ErrorCode,unknown,"ResourceManager_ErrorCode OH_ResourceManager_GetMediaBase64(const NativeResourceManager *mgr, uint32_t resId,"
resourcemanager/ohresmgr.h,111,OH_ResourceManager_GetMediaBase64ByName,ResourceManager_ErrorCode,unknown,"ResourceManager_ErrorCode OH_ResourceManager_GetMediaBase64ByName(const NativeResourceManager *mgr,"
resourcemanager/ohresmgr.h,88,OH_ResourceManager_GetMediaBase64Data,ResourceManager_ErrorCode,unknown,"ResourceManager_ErrorCode OH_ResourceManager_GetMediaBase64Data(const NativeResourceManager *mgr, uint32_t resId,"
resourcemanager/ohresmgr.h,134,OH_ResourceManager_GetMediaBase64DataByName,ResourceManager_ErrorCode,unknown,"ResourceManager_ErrorCode OH_ResourceManager_GetMediaBase64DataByName(const NativeResourceManager *mgr,"
resourcemanager/ohresmgr.h,203,OH_ResourceManager_GetMediaByName,ResourceManager_ErrorCode,unknown,"ResourceManager_ErrorCode OH_ResourceManager_GetMediaByName(const NativeResourceManager *mgr, const char *resName,"
resourcemanager/ohresmgr.h,180,OH_ResourceManager_GetMediaData,ResourceManager_ErrorCode,unknown,"ResourceManager_ErrorCode OH_ResourceManager_GetMediaData(const NativeResourceManager *mgr, uint32_t resId,"
resourcemanager/ohresmgr.h,226,OH_ResourceManager_GetMediaDataByName,ResourceManager_ErrorCode,unknown,"ResourceManager_ErrorCode OH_ResourceManager_GetMediaDataByName(const NativeResourceManager *mgr, const char *resName,"
resourcemanager/ohresmgr.h,577,OH_ResourceManager_GetPluralString,ResourceManager_ErrorCode,unknown,"ResourceManager_ErrorCode OH_ResourceManager_GetPluralString(const NativeResourceManager *mgr, uint32_t resId,"
resourcemanager/ohresmgr.h,602,OH_ResourceManager_GetPluralStringByName,ResourceManager_ErrorCode,unknown,"ResourceManager_ErrorCode OH_ResourceManager_GetPluralStringByName(const NativeResourceManager *mgr,"
resourcemanager/ohresmgr.h,433,OH_ResourceManager_GetResourceConfiguration,ResourceManager_ErrorCode,unknown,"ResourceManager_ErrorCode OH_ResourceManager_GetResourceConfiguration(const NativeResourceManager *mgr,"
resourcemanager/ohresmgr.h,469,OH_ResourceManager_GetString,ResourceManager_ErrorCode,unknown,"ResourceManager_ErrorCode OH_ResourceManager_GetString(const NativeResourceManager *mgr, uint32_t resId,"
resourcemanager/ohresmgr.h,518,OH_ResourceManager_GetStringArray,ResourceManager_ErrorCode,unknown,"ResourceManager_ErrorCode OH_ResourceManager_GetStringArray(const NativeResourceManager *mgr, uint32_t resId,"
resourcemanager/ohresmgr.h,541,OH_ResourceManager_GetStringArrayByName,ResourceManager_ErrorCode,unknown,"ResourceManager_ErrorCode OH_ResourceManager_GetStringArrayByName(const NativeResourceManager *mgr,"
resourcemanager/ohresmgr.h,495,OH_ResourceManager_GetStringByName,ResourceManager_ErrorCode,unknown,"ResourceManager_ErrorCode OH_ResourceManager_GetStringByName(const NativeResourceManager *mgr, const char *resName,"
resourcemanager/ohresmgr.h,335,OH_ResourceManager_GetSymbol,ResourceManager_ErrorCode,unknown,"ResourceManager_ErrorCode OH_ResourceManager_GetSymbol(const NativeResourceManager *mgr, uint32_t resId,"
resourcemanager/ohresmgr.h,355,OH_ResourceManager_GetSymbolByName,ResourceManager_ErrorCode,unknown,"ResourceManager_ErrorCode OH_ResourceManager_GetSymbolByName(const NativeResourceManager *mgr, const char *resName,"
resourcemanager/ohresmgr.h,444,OH_ResourceManager_ReleaseConfiguration,ResourceManager_ErrorCode,ResourceManager_Configuration *configuration,ResourceManager_ErrorCode OH_ResourceManager_ReleaseConfiguration(ResourceManager_Configuration *configuration);
resourcemanager/ohresmgr.h,553,OH_ResourceManager_ReleaseStringArray,ResourceManager_ErrorCode,"char ***resValue, uint32_t len","ResourceManager_ErrorCode OH_ResourceManager_ReleaseStringArray(char ***resValue, uint32_t len);"
resourcemanager/ohresmgr.h,885,OH_ResourceManager_RemoveResource,ResourceManager_ErrorCode,"const NativeResourceManager *mgr, const char *path","ResourceManager_ErrorCode OH_ResourceManager_RemoveResource(const NativeResourceManager *mgr, const char *path);"
BasicServicesKit/ohscan.h,283,OH_Scan_CancelScan,int32_t,const char* scannerId,int32_t OH_Scan_CancelScan(const char* scannerId);
BasicServicesKit/ohscan.h,207,OH_Scan_CloseScanner,int32_t,const char* scannerId,int32_t OH_Scan_CloseScanner(const char* scannerId);
BasicServicesKit/ohscan.h,320,OH_Scan_Exit,int32_t,void,int32_t OH_Scan_Exit();
BasicServicesKit/ohscan.h,306,OH_Scan_GetPictureScanProgress,int32_t,"const char* scannerId, Scan_PictureScanProgress* prog","int32_t OH_Scan_GetPictureScanProgress(const char* scannerId, Scan_PictureScanProgress* prog);"
BasicServicesKit/ohscan.h,226,OH_Scan_GetScannerParameter,Scan_ScannerOptions*,"const char* scannerId, int32_t* errorCode","Scan_ScannerOptions* OH_Scan_GetScannerParameter(const char* scannerId, int32_t* errorCode);"
BasicServicesKit/ohscan.h,160,OH_Scan_Init,int32_t,void,int32_t OH_Scan_Init();
BasicServicesKit/ohscan.h,192,OH_Scan_OpenScanner,int32_t,const char* scannerId,int32_t OH_Scan_OpenScanner(const char* scannerId);
BasicServicesKit/ohscan.h,246,OH_Scan_SetScannerParameter,int32_t,"const char* scannerId, const int32_t option, const char* value","int32_t OH_Scan_SetScannerParameter(const char* scannerId, const int32_t option, const char* value);"
BasicServicesKit/ohscan.h,268,OH_Scan_StartScan,int32_t,"const char* scannerId, bool batchMode","int32_t OH_Scan_StartScan(const char* scannerId, bool batchMode);"
BasicServicesKit/ohscan.h,174,OH_Scan_StartScannerDiscovery,int32_t,Scan_ScannerDiscoveryCallback callback,int32_t OH_Scan_StartScannerDiscovery(Scan_ScannerDiscoveryCallback callback);
BasicServicesKit/time_service.h,72,OH_TimeService_GetTimeZone,TimeService_ErrCode,"char *timeZone, uint32_t len","TimeService_ErrCode OH_TimeService_GetTimeZone(char *timeZone, uint32_t len);"
BasicServicesKit/oh_commonevent.h,695,OH_CommonEvent_AbortCommonEvent,bool,CommonEvent_Subscriber* subscriber,bool OH_CommonEvent_AbortCommonEvent(CommonEvent_Subscriber* subscriber);
BasicServicesKit/oh_commonevent.h,704,OH_CommonEvent_ClearAbortCommonEvent,bool,CommonEvent_Subscriber* subscriber,bool OH_CommonEvent_ClearAbortCommonEvent(CommonEvent_Subscriber* subscriber);
BasicServicesKit/oh_commonevent.h,353,OH_CommonEvent_CreateParameters,CommonEvent_Parameters*,void,CommonEvent_Parameters* OH_CommonEvent_CreateParameters();
BasicServicesKit/oh_commonevent.h,272,OH_CommonEvent_CreatePublishInfo,CommonEvent_PublishInfo*,bool ordered,CommonEvent_PublishInfo* OH_CommonEvent_CreatePublishInfo(bool ordered);
BasicServicesKit/oh_commonevent.h,139,OH_CommonEvent_CreateSubscribeInfo,CommonEvent_SubscribeInfo*,"const char* events[], int32_t eventsNum","CommonEvent_SubscribeInfo* OH_CommonEvent_CreateSubscribeInfo(const char* events[], int32_t eventsNum);"
BasicServicesKit/oh_commonevent.h,181,OH_CommonEvent_CreateSubscriber,CommonEvent_Subscriber*,unknown,"CommonEvent_Subscriber* OH_CommonEvent_CreateSubscriber(const CommonEvent_SubscribeInfo* info,"
BasicServicesKit/oh_commonevent.h,361,OH_CommonEvent_DestroyParameters,void,CommonEvent_Parameters* param,void OH_CommonEvent_DestroyParameters(CommonEvent_Parameters* param);
BasicServicesKit/oh_commonevent.h,280,OH_CommonEvent_DestroyPublishInfo,void,CommonEvent_PublishInfo* info,void OH_CommonEvent_DestroyPublishInfo(CommonEvent_PublishInfo* info);
BasicServicesKit/oh_commonevent.h,171,OH_CommonEvent_DestroySubscribeInfo,void,CommonEvent_SubscribeInfo* info,void OH_CommonEvent_DestroySubscribeInfo(CommonEvent_SubscribeInfo* info);
BasicServicesKit/oh_commonevent.h,190,OH_CommonEvent_DestroySubscriber,void,CommonEvent_Subscriber* subscriber,void OH_CommonEvent_DestroySubscriber(CommonEvent_Subscriber* subscriber);
BasicServicesKit/oh_commonevent.h,677,OH_CommonEvent_FinishCommonEvent,bool,CommonEvent_Subscriber* subscriber,bool OH_CommonEvent_FinishCommonEvent(CommonEvent_Subscriber* subscriber);
BasicServicesKit/oh_commonevent.h,686,OH_CommonEvent_GetAbortCommonEvent,bool,const CommonEvent_Subscriber* subscriber,bool OH_CommonEvent_GetAbortCommonEvent(const CommonEvent_Subscriber* subscriber);
BasicServicesKit/oh_commonevent.h,508,OH_CommonEvent_GetBoolArrayFromParameters,int32_t,"const CommonEvent_Parameters* para, const char* key, bool** array","int32_t OH_CommonEvent_GetBoolArrayFromParameters(const CommonEvent_Parameters* para, const char* key, bool** array);"
BasicServicesKit/oh_commonevent.h,484,OH_CommonEvent_GetBoolFromParameters,bool,"const CommonEvent_Parameters* para, const char* key, const bool defaultValue","bool OH_CommonEvent_GetBoolFromParameters(const CommonEvent_Parameters* para, const char* key, const bool defaultValue);"
BasicServicesKit/oh_commonevent.h,254,OH_CommonEvent_GetBundleNameFromRcvData,const char*,const CommonEvent_RcvData* rcvData,const char* OH_CommonEvent_GetBundleNameFromRcvData(const CommonEvent_RcvData* rcvData);
BasicServicesKit/oh_commonevent.h,559,OH_CommonEvent_GetCharArrayFromParameters,int32_t,"const CommonEvent_Parameters* para, const char* key, char** array","int32_t OH_CommonEvent_GetCharArrayFromParameters(const CommonEvent_Parameters* para, const char* key, char** array);"
BasicServicesKit/oh_commonevent.h,535,OH_CommonEvent_GetCharFromParameters,char,"const CommonEvent_Parameters* para, const char* key, const char defaultValue","char OH_CommonEvent_GetCharFromParameters(const CommonEvent_Parameters* para, const char* key, const char defaultValue);"
BasicServicesKit/oh_commonevent.h,236,OH_CommonEvent_GetCodeFromRcvData,int32_t,const CommonEvent_RcvData* rcvData,int32_t OH_CommonEvent_GetCodeFromRcvData(const CommonEvent_RcvData* rcvData);
BasicServicesKit/oh_commonevent.h,713,OH_CommonEvent_GetCodeFromSubscriber,int32_t,const CommonEvent_Subscriber* subscriber,int32_t OH_CommonEvent_GetCodeFromSubscriber(const CommonEvent_Subscriber* subscriber);
BasicServicesKit/oh_commonevent.h,732,OH_CommonEvent_GetDataFromSubscriber,const char*,const CommonEvent_Subscriber* subscriber,const char* OH_CommonEvent_GetDataFromSubscriber(const CommonEvent_Subscriber* subscriber);
BasicServicesKit/oh_commonevent.h,245,OH_CommonEvent_GetDataStrFromRcvData,const char*,const CommonEvent_RcvData* rcvData,const char* OH_CommonEvent_GetDataStrFromRcvData(const CommonEvent_RcvData* rcvData);
BasicServicesKit/oh_commonevent.h,611,OH_CommonEvent_GetDoubleArrayFromParameters,int32_t,unknown,"int32_t OH_CommonEvent_GetDoubleArrayFromParameters(const CommonEvent_Parameters* para, const char* key,"
BasicServicesKit/oh_commonevent.h,585,OH_CommonEvent_GetDoubleFromParameters,double,unknown,"double OH_CommonEvent_GetDoubleFromParameters(const CommonEvent_Parameters* para, const char* key,"
BasicServicesKit/oh_commonevent.h,227,OH_CommonEvent_GetEventFromRcvData,const char*,const CommonEvent_RcvData* rcvData,const char* OH_CommonEvent_GetEventFromRcvData(const CommonEvent_RcvData* rcvData);
BasicServicesKit/oh_commonevent.h,406,OH_CommonEvent_GetIntArrayFromParameters,int32_t,"const CommonEvent_Parameters* para, const char* key, int** array","int32_t OH_CommonEvent_GetIntArrayFromParameters(const CommonEvent_Parameters* para, const char* key, int** array);"
BasicServicesKit/oh_commonevent.h,382,OH_CommonEvent_GetIntFromParameters,int,"const CommonEvent_Parameters* para, const char* key, const int defaultValue","int OH_CommonEvent_GetIntFromParameters(const CommonEvent_Parameters* para, const char* key, const int defaultValue);"
