source_package,declaration,status,target_package,target_declaration
platform.basic,ARKUI_ACCESSIBILITY_ACTION_CLICK,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_ACCESSIBILITY_ACTION_COPY,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_ACCESSIBILITY_ACTION_CUT,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_ACCESSIBILITY_ACTION_LONG_CLICK,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_ACCESSIBILITY_ACTION_PASTE,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_ACCESSIBILITY_CHECKED,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_ACCESSIBILITY_MODE_AUTO,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_ACCESSIBILITY_MODE_DISABLED,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_ACCESSIBILITY_MODE_DISABLED_FOR_DESCENDANTS,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_ACCESSIBILITY_MODE_ENABLED,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_ACCESSIBILITY_NATIVE_ACTION_TYPE_CLEAR_ACCESSIBILITY_FOCUS,mapped,platform.ArkUI.ArkUI_Accessibility,
platform.basic,ARKUI_ACCESSIBILITY_NATIVE_ACTION_TYPE_CLICK,mapped,platform.ArkUI.ArkUI_Accessibility,
platform.basic,ARKUI_ACCESSIBILITY_NATIVE_ACTION_TYPE_COPY,mapped,platform.ArkUI.ArkUI_Accessibility,
platform.basic,ARKUI_ACCESSIBILITY_NATIVE_ACTION_TYPE_CUT,mapped,platform.ArkUI.ArkUI_Accessibility,
platform.basic,ARKUI_ACCESSIBILITY_NATIVE_ACTION_TYPE_GAIN_ACCESSIBILITY_FOCUS,mapped,platform.ArkUI.ArkUI_Accessibility,
platform.basic,ARKUI_ACCESSIBILITY_NATIVE_ACTION_TYPE_INVALID,mapped,platform.ArkUI.ArkUI_Accessibility,
platform.basic,ARKUI_ACCESSIBILITY_NATIVE_ACTION_TYPE_LONG_CLICK,mapped,platform.ArkUI.ArkUI_Accessibility,
platform.basic,ARKUI_ACCESSIBILITY_NATIVE_ACTION_TYPE_NEXT_HTML_ITEM,mapped,platform.ArkUI.ArkUI_Accessibility,
platform.basic,ARKUI_ACCESSIBILITY_NATIVE_ACTION_TYPE_PASTE,mapped,platform.ArkUI.ArkUI_Accessibility,
platform.basic,ARKUI_ACCESSIBILITY_NATIVE_ACTION_TYPE_PREVIOUS_HTML_ITEM,mapped,platform.ArkUI.ArkUI_Accessibility,
platform.basic,ARKUI_ACCESSIBILITY_NATIVE_ACTION_TYPE_SCROLL_BACKWARD,mapped,platform.ArkUI.ArkUI_Accessibility,
platform.basic,ARKUI_ACCESSIBILITY_NATIVE_ACTION_TYPE_SCROLL_FORWARD,mapped,platform.ArkUI.ArkUI_Accessibility,
platform.basic,ARKUI_ACCESSIBILITY_NATIVE_ACTION_TYPE_SELECT_TEXT,mapped,platform.ArkUI.ArkUI_Accessibility,
platform.basic,ARKUI_ACCESSIBILITY_NATIVE_ACTION_TYPE_SET_CURSOR_POSITION,mapped,platform.ArkUI.ArkUI_Accessibility,
platform.basic,ARKUI_ACCESSIBILITY_NATIVE_ACTION_TYPE_SET_TEXT,mapped,platform.ArkUI.ArkUI_Accessibility,
platform.basic,ARKUI_ACCESSIBILITY_NATIVE_DIRECTION_BACKWARD,mapped,platform.ArkUI.ArkUI_Accessibility,
platform.basic,ARKUI_ACCESSIBILITY_NATIVE_DIRECTION_DOWN,mapped,platform.ArkUI.ArkUI_Accessibility,
platform.basic,ARKUI_ACCESSIBILITY_NATIVE_DIRECTION_FORWARD,mapped,platform.ArkUI.ArkUI_Accessibility,
platform.basic,ARKUI_ACCESSIBILITY_NATIVE_DIRECTION_INVALID,mapped,platform.ArkUI.ArkUI_Accessibility,
platform.basic,ARKUI_ACCESSIBILITY_NATIVE_DIRECTION_LEFT,mapped,platform.ArkUI.ArkUI_Accessibility,
platform.basic,ARKUI_ACCESSIBILITY_NATIVE_DIRECTION_RIGHT,mapped,platform.ArkUI.ArkUI_Accessibility,
