symbol,package_count,packages
AAC_PROFILE_HE,1,platform.AVCodecKit.CodecBase
AAC_PROFILE_HE_V2,1,platform.AVCodecKit.CodecBase
AAC_PROFILE_LC,1,platform.AVCodecKit.CodecBase
ABDAY_1,1,platform.linux
ABDAY_2,1,platform.linux
ABDAY_3,1,platform.linux
ABDAY_4,1,platform.linux
ABDAY_5,1,platform.linux
ABDAY_6,1,platform.linux
ABDAY_7,1,platform.linux
ABILITY_BASE_ERROR_CODE_NO_ERROR,1,platform.AbilityKit.AbilityBase
ABILITY_BASE_ERROR_CODE_PARAM_INVALID,1,platform.AbilityKit.AbilityBase
ABILITY_RUNTIME_AREA_MODE_EL1,1,platform.AbilityKit.AbilityRuntime
ABILITY_RUNTIME_AREA_MODE_EL2,1,platform.AbilityKit.AbilityRuntime
ABILITY_RUNTIME_AREA_MODE_EL3,1,platform.AbilityKit.AbilityRuntime
ABILITY_RUNTIME_AREA_MODE_EL4,1,platform.AbilityKit.AbilityRuntime
ABILITY_RUNTIME_AREA_MODE_EL5,1,platform.AbilityKit.AbilityRuntime
ABILITY_RUNTIME_ERROR_CODE_APP_INSTANCE_KEY_NOT_SUPPORTED,1,platform.AbilityKit.AbilityRuntime
ABILITY_RUNTIME_ERROR_CODE_CONTEXT_NOT_EXIST,1,platform.AbilityKit.AbilityRuntime
ABILITY_RUNTIME_ERROR_CODE_CONTROLLED,1,platform.AbilityKit.AbilityRuntime
ABILITY_RUNTIME_ERROR_CODE_CROSS_APP,1,platform.AbilityKit.AbilityRuntime
ABILITY_RUNTIME_ERROR_CODE_CROWDTEST_EXPIRED,1,platform.AbilityKit.AbilityRuntime
ABILITY_RUNTIME_ERROR_CODE_EDM_CONTROLLED,1,platform.AbilityKit.AbilityRuntime
ABILITY_RUNTIME_ERROR_CODE_GET_APPLICATION_INFO_FAILED,1,platform.AbilityKit.AbilityRuntime
ABILITY_RUNTIME_ERROR_CODE_INCORRECT_ABILITY_TYPE,1,platform.AbilityKit.AbilityRuntime
ABILITY_RUNTIME_ERROR_CODE_INTERNAL,1,platform.AbilityKit.AbilityRuntime
ABILITY_RUNTIME_ERROR_CODE_INVALID_APP_INSTANCE_KEY,1,platform.AbilityKit.AbilityRuntime
ABILITY_RUNTIME_ERROR_CODE_MAIN_THREAD_NOT_SUPPORTED,1,platform.AbilityKit.AbilityRuntime
ABILITY_RUNTIME_ERROR_CODE_MULTI_APP_NOT_SUPPORTED,1,platform.AbilityKit.AbilityRuntime
ABILITY_RUNTIME_ERROR_CODE_NOT_SUPPORTED,1,platform.AbilityKit.AbilityRuntime
ABILITY_RUNTIME_ERROR_CODE_NOT_TOP_ABILITY,1,platform.AbilityKit.AbilityRuntime
ABILITY_RUNTIME_ERROR_CODE_NO_ERROR,1,platform.AbilityKit.AbilityRuntime
ABILITY_RUNTIME_ERROR_CODE_NO_SUCH_ABILITY,1,platform.AbilityKit.AbilityRuntime
ABILITY_RUNTIME_ERROR_CODE_PARAM_INVALID,1,platform.AbilityKit.AbilityRuntime
ABILITY_RUNTIME_ERROR_CODE_PERMISSION_DENIED,1,platform.AbilityKit.AbilityRuntime
ABILITY_RUNTIME_ERROR_CODE_START_TIMEOUT,1,platform.AbilityKit.AbilityRuntime
ABILITY_RUNTIME_ERROR_CODE_UPPER_LIMIT_REACHED,1,platform.AbilityKit.AbilityRuntime
ABILITY_RUNTIME_ERROR_CODE_WUKONG_MODE,1,platform.AbilityKit.AbilityRuntime
ABILITY_RUNTIME_ERROR_MULTI_INSTANCE_NOT_SUPPORTED,1,platform.AbilityKit.AbilityRuntime
ABILITY_RUNTIME_ERROR_VISIBILITY_SETTING_DISABLED,1,platform.AbilityKit.AbilityRuntime
ABILITY_RUNTIME_HIDE_UPON_START,1,platform.AbilityKit.AbilityRuntime
ABILITY_RUNTIME_SHOW_UPON_START,1,platform.AbilityKit.AbilityRuntime
ABILITY_RUNTIME_SUPPORTED_WINDOW_MODE_FLOATING,1,platform.AbilityKit.AbilityRuntime
ABILITY_RUNTIME_SUPPORTED_WINDOW_MODE_FULL_SCREEN,1,platform.AbilityKit.AbilityRuntime
ABILITY_RUNTIME_SUPPORTED_WINDOW_MODE_SPLIT,1,platform.AbilityKit.AbilityRuntime
ABILITY_RUNTIME_WINDOW_MODE_FULL_SCREEN,1,platform.AbilityKit.AbilityRuntime
ABILITY_RUNTIME_WINDOW_MODE_UNDEFINED,1,platform.AbilityKit.AbilityRuntime
ABMON_1,1,platform.linux
ABMON_10,1,platform.linux
ABMON_11,1,platform.linux
ABMON_12,1,platform.linux
ABMON_2,1,platform.linux
ABMON_3,1,platform.linux
ABMON_4,1,platform.linux
ABMON_5,1,platform.linux
ABMON_6,1,platform.linux
ABMON_7,1,platform.linux
ABMON_8,1,platform.linux
ABMON_9,1,platform.linux
ABORT,1,platform.linux
ABOUT_TO_RESTORE,1,platform.ArkUI.WindowManager
ABOUT_TO_START,1,platform.ArkUI.WindowManager
ABOUT_TO_STOP,1,platform.ArkUI.WindowManager
ABR_CONTEXT_CONFIG_AFTER_ACTIVE,1,platform.GraphicsAccelerateKit.GraphicsAccelerate
ABR_CONTEXT_NOT_ACTIVE,1,platform.GraphicsAccelerateKit.GraphicsAccelerate
ABR_CONTEXT_NOT_CONFIG,1,platform.GraphicsAccelerateKit.GraphicsAccelerate
ABR_CameraData,1,platform.GraphicsAccelerateKit.GraphicsAccelerate
ABR_CameraData.Companion,1,platform.GraphicsAccelerateKit.GraphicsAccelerate
ABR_CameraData.position,1,platform.GraphicsAccelerateKit.GraphicsAccelerate
ABR_CameraData.rotation,1,platform.GraphicsAccelerateKit.GraphicsAccelerate
ABR_ErrorCode,1,platform.GraphicsAccelerateKit.GraphicsAccelerate
ABR_ErrorCodeVar,1,platform.GraphicsAccelerateKit.GraphicsAccelerate
ABR_FRAMEBUFFER_INVALID,1,platform.GraphicsAccelerateKit.GraphicsAccelerate
ABR_INVALID_PARAMETER,1,platform.GraphicsAccelerateKit.GraphicsAccelerate
ABR_METADATA_INVALID,1,platform.GraphicsAccelerateKit.GraphicsAccelerate
ABR_RenderAPI_Type,1,platform.GraphicsAccelerateKit.GraphicsAccelerate
ABR_RenderAPI_TypeVar,1,platform.GraphicsAccelerateKit.GraphicsAccelerate
ABR_SUCCESS,1,platform.GraphicsAccelerateKit.GraphicsAccelerate
ABR_Vector3,1,platform.GraphicsAccelerateKit.GraphicsAccelerate
ABR_Vector3.Companion,1,platform.GraphicsAccelerateKit.GraphicsAccelerate
ABR_Vector3.x,1,platform.GraphicsAccelerateKit.GraphicsAccelerate
ABR_Vector3.y,1,platform.GraphicsAccelerateKit.GraphicsAccelerate
ABR_Vector3.z,1,platform.GraphicsAccelerateKit.GraphicsAccelerate
ACCOUNTING,1,platform.posix
ACCT_BYTEORDER,1,platform.linux
ACCT_COMM,1,platform.linux
ACK,1,platform.linux
ACORE,1,platform.linux
ACTION,1,platform.posix
ACTION.Companion,1,platform.posix
ACTION.Companion.byValue,1,platform.posix
ACTION.ENTER,1,platform.posix
ACTION.FIND,1,platform.posix
ACTION.Var,1,platform.posix
ACTION.Var.Companion,1,platform.posix
ACTION.Var.value,1,platform.posix
ACTION.value,1,platform.posix
ACTIVE,1,platform.CoreFileKit.CloudDisk
ACTIVE_SESSION_LIMIT_EXCEEDED,1,platform.AppGalleryKit.ModuleInstall
ADAPTIVE_MODE,1,platform.GraphicsAccelerateKit.GraphicsAccelerate
ADD,1,platform.posix
ADDR_COMPAT_LAYOUT,1,platform.linux
ADDR_LIMIT_32BIT,1,platform.linux
ADDR_LIMIT_3GB,1,platform.linux
ADDR_NO_RANDOMIZE,1,platform.linux
ADJACENT_REFERENCE,1,platform.AVCodecKit.CodecBase
ADJ_ESTERROR,1,platform.linux
ADJ_FREQUENCY,1,platform.linux
ADJ_MAXERROR,1,platform.linux
ADJ_MICRO,1,platform.linux
ADJ_NANO,1,platform.linux
ADJ_OFFSET,1,platform.linux
ADJ_OFFSET_SINGLESHOT,1,platform.linux
ADJ_OFFSET_SS_READ,1,platform.linux
ADJ_SETOFFSET,1,platform.linux
ADJ_STATUS,1,platform.linux
ADJ_TAI,1,platform.linux
ADJ_TICK,1,platform.linux
ADJ_TIMECONST,1,platform.linux
ADOBE_RGB,1,platform.ArkGraphics2D.NativeColorSpaceManager
ADOBE_RGB_LIMIT,1,platform.ArkGraphics2D.NativeColorSpaceManager
AECH_DEVELOPER_DEFINED_ICON,1,platform.InputKit.Input
AFBC_FORMAT_MOD_BCH,1,platform.drm
AFBC_FORMAT_MOD_BLOCK_SIZE_16x16,1,platform.drm
AFBC_FORMAT_MOD_BLOCK_SIZE_32x8,1,platform.drm
AFBC_FORMAT_MOD_BLOCK_SIZE_32x8_64x4,1,platform.drm
AFBC_FORMAT_MOD_BLOCK_SIZE_64x4,1,platform.drm
AFBC_FORMAT_MOD_BLOCK_SIZE_MASK,1,platform.drm
AFBC_FORMAT_MOD_CBR,1,platform.drm
AFBC_FORMAT_MOD_DB,1,platform.drm
AFBC_FORMAT_MOD_SC,1,platform.drm
AFBC_FORMAT_MOD_SPARSE,1,platform.drm
AFBC_FORMAT_MOD_SPLIT,1,platform.drm
AFBC_FORMAT_MOD_TILED,1,platform.drm
AFBC_FORMAT_MOD_USM,1,platform.drm
AFBC_FORMAT_MOD_YTR,1,platform.drm
AFMT_AC3,1,platform.linux
AFMT_A_LAW,1,platform.linux
AFMT_IMA_ADPCM,1,platform.linux
AFMT_MPEG,1,platform.linux
AFMT_MU_LAW,1,platform.linux
AFMT_QUERY,1,platform.linux
AFMT_S16_BE,1,platform.linux
AFMT_S16_LE,1,platform.linux
AFMT_S16_NE,1,platform.linux
AFMT_S8,1,platform.linux
AFMT_U16_BE,1,platform.linux
AFMT_U16_LE,1,platform.linux
AFMT_U8,1,platform.linux
AFORK,1,platform.linux
AF_ALG,1,platform.posix
AF_APPLETALK,1,platform.posix
AF_ASH,1,platform.posix
AF_ATMPVC,1,platform.posix
AF_ATMSVC,1,platform.posix
AF_AX25,1,platform.posix
AF_BLUETOOTH,1,platform.posix
AF_BRIDGE,1,platform.posix
AF_CAIF,1,platform.posix
AF_CAN,1,platform.posix
AF_DECnet,1,platform.posix
AF_ECONET,1,platform.posix
AF_FILE,1,platform.posix
AF_IB,1,platform.posix
AF_IEEE802154,1,platform.posix
AF_INET,1,platform.posix
AF_INET6,1,platform.posix
AF_IPX,1,platform.posix
AF_IRDA,1,platform.posix
AF_ISDN,1,platform.posix
AF_IUCV,1,platform.posix
AF_KCM,1,platform.posix
AF_KEY,1,platform.posix
AF_LLC,1,platform.posix
AF_LOCAL,1,platform.posix
AF_MAX,1,platform.posix
AF_MPLS,1,platform.posix
